model,rmse_mean,mae_mean,r2_mean,rmse_std,mae_std,r2_std,baseline_rmse_mean,baseline_mae_mean,baseline_r2_mean,rmse_improvement,mae_improvement,r2_improvement
random_forest,145.7130673808744,108.75712313169566,-0.21658521220685178,23.468364409524995,22.667389772299103,0.3705810448358748,155.29588043086605,127.3609412080683,-0.4342799248251165,9.582813049991643,18.603818076372633,0.21769471261826473
xgboost,147.3914207950972,108.77057620317926,-0.23729471579419886,24.832418086184735,22.496280594087573,0.3584131107217662,155.29588043086605,127.3609412080683,-0.4342799248251165,7.904459635768859,18.590365004889037,0.19698520903091765
gradient_boosting,153.77795215876256,109.61774037670523,-0.3007893709222297,35.79435721967261,25.206136823143943,0.2976359687432538,155.29588043086605,127.3609412080683,-0.4342799248251165,1.5179282721034895,17.74320083136307,0.13349055390288683
extra_trees,161.95737047578052,118.92834688038792,-0.4965727416307373,30.345301562621454,32.90273161213593,0.44172744814157244,155.29588043086605,127.3609412080683,-0.4342799248251165,-6.661490044914473,8.432594327680377,-0.062292816805620765
decision_tree,184.5149647339246,130.2881457786242,-0.9264097042374717,30.305465796997737,20.64049304449041,0.4987501377774313,155.29588043086605,127.3609412080683,-0.4342799248251165,-29.219084303058537,-2.927204570555901,-0.4921297794123552
