model,rmse,mae,r2,baseline_mean_rmse,baseline_mean_mae,baseline_mean_r2,baseline_median_rmse,baseline_median_mae,baseline_median_r2,rmse_improvement_vs_mean,mae_improvement_vs_mean,r2_improvement_vs_mean,rmse_improvement_vs_median,mae_improvement_vs_median,r2_improvement_vs_median,params
extra_trees,102.85171301097682,78.06802733260095,0.17090935089964432,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,14.260535968842149,11.32289859332495,0.2458478079129366,10.270363501278041,-1.9252495548231678,0.17384644806571392,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": 0.7, ""bootstrap"": true}"
extra_trees,105.51659162362282,78.27124763238767,0.1273894349611232,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,11.595657356196156,11.119678293538229,0.20232789197441547,7.6054848886320485,-2.1284698546098895,0.1303265321271928,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": false}"
extra_trees,107.15619238713477,79.03259172061371,0.10006010485259753,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,9.956056592684206,10.35833420531219,0.1749985618658898,5.965884125120098,-2.8898139428359286,0.10299720201866713,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_leaf"": 1, ""max_features"": 0.7, ""bootstrap"": true}"
extra_trees,106.5414902786839,79.5523762386184,0.11035551075948802,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,10.570758701135077,9.838549687307506,0.1852939677727803,6.580586233570969,-3.4095984608406127,0.11329260792555762,"{""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": false}"
extra_trees,105.79160435235234,79.84079059272231,0.12283485746650047,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,11.320644627466635,9.550135333203585,0.19777331447979274,7.330472159902527,-3.6980128149445335,0.12577195463257007,"{""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": true}"
extra_trees,105.94342888398825,79.90491572494444,0.12031536171837998,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,11.168820095830725,9.486010200981454,0.19525381873167225,7.178647628266617,-3.7621379471666643,0.12325245888444958,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": true}"
extra_trees,104.83480872922074,79.93021576454339,0.13862954250856763,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,12.277440250598232,9.460710161382508,0.2135679995218599,8.287267783034125,-3.7874379867656103,0.14156663967463723,"{""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": 0.7, ""bootstrap"": true}"
extra_trees,109.17394429041896,80.11405424035583,0.06584926400134372,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,7.938304689400013,9.276871685570072,0.140787721014636,3.9481322218359054,-3.9712764625780466,0.06878636116741332,"{""n_estimators"": 500, ""max_depth"": 6, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": false}"
extra_trees,108.775217952667,80.39885942426055,0.07266023586389503,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,8.337031027151966,8.992066501665349,0.1475986928771873,4.346858559587858,-4.2560816464827695,0.07559733302996463,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": false}"
extra_trees,106.61108854056977,80.93217927488779,0.10919281003384118,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,10.501160439249205,8.458746651038112,0.18413126704713345,6.510987971685097,-4.789401497110006,0.11212990719991078,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""bootstrap"": true}"
extra_trees,110.76782756834156,81.09037087306139,0.038373916622916227,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,6.344421411477413,8.30055505286451,0.1133123736362085,2.354248943913305,-4.947593095283608,0.04131101378898583,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": 0.7, ""bootstrap"": false}"
extra_trees,106.40097250120076,81.15932862884836,0.11270067089409397,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,10.711276478618217,8.231597297077542,0.18763912790738624,6.721104011054109,-5.016550851070576,0.11563776806016357,"{""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""bootstrap"": true}"
extra_trees,107.33803483124983,81.17463946807739,0.09700314435563484,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,9.774214148569143,8.216286457848511,0.1719416013689271,5.784041681005036,-5.031861690299607,0.09994024152170444,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""bootstrap"": true}"
random_forest,110.0413911344548,81.26387656376913,0.05094560991639008,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,7.0708578453641735,8.127049362156768,0.12588406692968235,3.080685377800066,-5.12109878599135,0.05388270708245968,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": true}"
extra_trees,111.27941209697777,81.27722742454398,0.029470806625979895,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,5.832836882841207,8.113698501381919,0.10440926363927217,1.842664415277099,-5.1344496467662,0.0324079037920495,"{""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": 0.7, ""bootstrap"": false}"
extra_trees,107.13813608188865,81.32702620515599,0.10036336722172734,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,9.974112897930326,8.06389972076991,0.1753018242350196,5.983940430366218,-5.184248427378208,0.10330046438779694,"{""n_estimators"": 300, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""bootstrap"": true}"
extra_trees,107.13780232191648,81.33214809742526,0.1003689723636646,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,9.97444665790249,8.058777828500638,0.17530742937695687,5.9842741903383825,-5.18937031964748,0.1033060695297342,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""bootstrap"": true}"
extra_trees,107.7078327523135,81.37202048691326,0.0907704687298454,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,9.404416227505479,8.018905439012642,0.16570892574313767,5.414243759941371,-5.229242709135477,0.093707565895915,"{""n_estimators"": 500, ""max_depth"": 6, ""min_samples_leaf"": 1, ""max_features"": 0.7, ""bootstrap"": true}"
extra_trees,107.6410420064252,81.44885856196919,0.09189776445119269,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,9.471206973393777,7.94206736395671,0.16683622146448496,5.481034505829669,-5.306080784191408,0.09483486161726229,"{""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""bootstrap"": false}"
extra_trees,107.98946001065258,81.49480445838732,0.08600946699318524,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,9.122788969166393,7.896121467538578,0.1609479240064775,5.1326165016022856,-5.352026680609541,0.08894656415925484,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""bootstrap"": false}"
extra_trees,106.89962042690112,81.51289622516896,0.10436453016307157,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,10.212628552917849,7.87802970075694,0.17930298717636384,6.222456085353741,-5.370118447391178,0.10730162732914117,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""bootstrap"": true}"
extra_trees,106.90745472412956,81.52586085837936,0.10423324940520329,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,10.204794255689407,7.865065067546539,0.17917170641849556,6.214621788125299,-5.38308308060158,0.10717034657127289,"{""n_estimators"": 500, ""max_depth"": 6, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""bootstrap"": true}"
extra_trees,108.01478279687774,81.56273028054879,0.08558076773820966,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,9.097466182941233,7.828195645377107,0.16051922475150193,5.107293715377125,-5.419952502771011,0.08851786490427926,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""bootstrap"": false}"
extra_trees,112.95406313232091,81.58613979873945,3.989406727544775e-05,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,4.158185847498061,7.804786127186446,0.07497835108056772,0.16801337993395293,-5.443362020961672,0.00297699123334505,"{""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": 1.0, ""bootstrap"": false}"
extra_trees,113.12308148082249,81.6945308429474,-0.002954917290419745,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,3.98916749899648,7.696395082978498,0.07198353972287252,-0.0010049685676278841,-5.5517530651696205,-1.782012435014302e-05,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": 1.0, ""bootstrap"": false}"
extra_trees,107.57954134300233,81.69683128722693,0.09293515565963117,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,9.532707636816639,7.694094638698971,0.16787361267292344,5.542535169252531,-5.554053509449147,0.09587225282570078,"{""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 3, ""max_features"": ""sqrt"", ""bootstrap"": true}"
extra_trees,107.8480499217766,81.7495493406797,0.08840160524379714,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,9.264199058042365,7.641376585246192,0.1633400622570894,5.2740265904782575,-5.606771562901926,0.09133870240986675,"{""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 5, ""max_features"": ""sqrt"", ""bootstrap"": false}"
extra_trees,109.53163714974563,81.87939673705488,0.05971801300649693,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,7.580611830073337,7.511529188871023,0.1346564700197892,3.5904393625092297,-5.736618959277095,0.06265511017256653,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_leaf"": 1, ""max_features"": 1.0, ""bootstrap"": true}"
extra_trees,106.77782662355082,81.95493069480906,0.10640421391950838,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,10.33442235626815,7.435995231116834,0.18134267093280065,6.3442498887040415,-5.812152917031284,0.10934131108557799,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": 1.0, ""bootstrap"": true}"
random_forest,113.13965954678876,81.96118373618447,-0.0032489027600643983,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,3.9725894330302083,7.429742189741432,0.07168955425322787,-0.017583034533899422,-5.818405958406686,-0.0003118055939947961,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": true}"
extra_trees,105.96310668364629,81.97229205151153,0.11998854832656247,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,11.149142296172684,7.418633874414368,0.19492700533985474,7.158969828608576,-5.82951427373375,0.12292564549263207,"{""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": 1.0, ""bootstrap"": true}"
extra_trees,113.20476123745648,81.98478474649043,-0.004403793819942159,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,3.907487742362491,7.4061411794354655,0.07053466319335011,-0.08268472520161652,-5.842006968712653,-0.0014666966538725568,"{""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 3, ""max_features"": 1.0, ""bootstrap"": false}"
extra_trees,109.39285660648518,82.0484308566154,0.06209924602356731,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,7.71939237333379,7.342495069310502,0.13703770303685958,3.729219905769682,-5.9056530788376165,0.06503634318963691,"{""n_estimators"": 300, ""max_depth"": 6, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": true}"
extra_trees,108.07610254444866,82.24385190605128,0.08454224558401302,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,9.036146435370313,7.147074019874623,0.1594807025973053,5.045973967806205,-6.1010741282734955,0.08747934275008262,"{""n_estimators"": 500, ""max_depth"": 6, ""min_samples_leaf"": 1, ""max_features"": 1.0, ""bootstrap"": true}"
random_forest,110.86924233272286,82.24862035275589,0.03661225479379038,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,6.243006647096109,7.142305573170006,0.11155071180708265,2.2528341795320017,-6.105842574978112,0.03954935195985998,"{""n_estimators"": 500, ""max_depth"": 4, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": true}"
extra_trees,112.73599153673092,82.33590101942166,0.0038972568088602166,117.11224897981897,89.3909259259259,-0.07493845701329227,113.12207651225486,76.14277777777778,-0.002937097166069602,4.3762574430880505,7.055024906504244,0.07883571382215249,0.38608497552394283,-6.193123241643875,0.006834353974929819,"{""n_estimators"": 300, ""max_depth"": 4, ""min_samples_leaf"": 3, ""max_features"": 0.7, ""bootstrap"": false}"
